K_true,n,pi_mae,pi_rmse,theta_mae,theta_rmse,convergence_rate,mean_time_sec
2,500.0,0.01690234937114,0.01690234937114,0.0573584718583123,0.0724848228490878,1.0,0.1432127237319946
2,1000.0,0.0185452737345199,0.0185452737345199,0.0183308954223487,0.0237863717452995,1.0,0.3618236064910888
2,2000.0,0.0094193230883777,0.0094193230883777,0.0137643292793498,0.0176350661654351,1.0,0.7123347282409668
2,3000.0,0.0094317069549292,0.0094317069549292,0.0107567693278313,0.0140921192389201,1.0,0.8385745286941528
2,5000.0,0.0067013818989853,0.0067013818989853,0.0090328668179906,0.0116415683515727,1.0,1.825883436203003
2,8000.0,0.0052913557735794,0.0052913557735794,0.0065199040361652,0.0083008827464179,1.0,2.5925156116485595
3,500.0,0.0187023039767193,0.0211397809570247,0.0496553812408583,0.0665927724175443,0.9,0.3313409328460693
3,1000.0,0.0204456396025636,0.0229093682113727,0.0394234775551583,0.0521943427961511,1.0,0.5764940261840821
3,2000.0,0.0126208098275724,0.0141574732353649,0.0177563621815123,0.0237171711119571,1.0,1.726979374885559
3,3000.0,0.008536080037452,0.0095139590051527,0.0134996219666666,0.017473088022228,1.0,2.3635177850723266
3,5000.0,0.0079743904263165,0.0088504374450269,0.0435405379261678,0.0630968200070827,1.0,3.5602378845214844
3,8000.0,0.0062309885708424,0.0070270926635315,0.0290413898676279,0.041437781574339,1.0,4.761677479743957
4,500.0,0.0165786127467512,0.0189965813176779,0.0986882418223417,0.1489798373978319,1.0,0.670234990119934
4,1000.0,0.0118423018161558,0.0139257696499414,0.0709425922690748,0.1013132570904801,0.9,1.5756657123565674
4,2000.0,0.0142639070176908,0.0158683533335217,0.0346269250724197,0.0483407682031221,1.0,2.699892020225525
4,3000.0,0.0081342299702404,0.0093818167616857,0.0762892490406896,0.1095349565067655,0.9,4.173699927330017
4,5000.0,0.007932212236047,0.0089437482217279,0.0251485449557628,0.0370175788600768,1.0,7.4662601232528685
4,8000.0,0.0052542209521095,0.0059808101104392,0.0234528225463972,0.0345983864000866,1.0,11.219915103912353
5,500.0,0.0168528544317109,0.0197759584827307,0.1633948815740984,0.2267148194890906,0.8,1.3213104486465457
5,1000.0,0.0149615577542354,0.0169576862602516,0.0906749734145332,0.1344554583440464,0.8,2.9953771114349363
5,2000.0,0.0132600394055001,0.0155944270117643,0.0847035524409392,0.1460358688958256,0.9,4.631784725189209
5,3000.0,0.0083181682071018,0.0097074863802671,0.0562063762447488,0.0947385533889589,1.0,7.106643104553223
5,5000.0,0.006328307367708,0.0077711009739223,0.0896541676734029,0.1499887190280324,0.9,13.02933235168457
5,8000.0,0.0059477688746762,0.0069844933386171,0.0382703595497588,0.0640496857270526,1.0,19.120342755317687
